what,kind,bundleId,bundleVersion,description,time
started,bundle,com.spket.xul,1.6.6,com.spket.xul,1511358808437
started,bundle,com.spket.ywt,1.6.6,com.spket.ywt,1511358808443
opened,editor,com.spket.xml,1.6.17,com.spket.xml.editor.xmlEditor,1511358808546
started,bundle,com.spket.js.debug,1.6.16,com.spket.js.debug,1511358808615
activated,editor,com.spket.xml,1.6.17,com.spket.xml.editor.xmlEditor,1511358808617
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511358811130
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511358811965
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1511358814634
activated,editor,org.eclipse.wst.html.ui,1.0.302.v200810291731,org.eclipse.wst.html.core.htmlsource.source,1511358816003
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1511358818891
opened,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1511358820063
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511358820085
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1511358820105
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511358848907
activated,editor,org.eclipse.wst.html.ui,1.0.302.v200810291731,org.eclipse.wst.html.core.htmlsource.source,1511358848950
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511358849961
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1511358849962
activated,editor,org.eclipse.wst.html.ui,1.0.302.v200810291731,org.eclipse.wst.html.core.htmlsource.source,1511358851254
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511358853098
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511358853112
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1511358854668
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511358855716
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511358858688
activated,editor,org.eclipse.wst.html.ui,1.0.302.v200810291731,org.eclipse.wst.html.core.htmlsource.source,1511358858742
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,org.eclipse.wst.internet.cache,1511358882225
