what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274815250
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274819363
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274827493
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.newWizard,1511274827505
opened,editor,org.eclipse.wst.html.ui,1.0.302.v200810291731,org.eclipse.wst.html.core.htmlsource.source,1511274827568
activated,editor,org.eclipse.wst.html.ui,1.0.302.v200810291731,org.eclipse.wst.html.core.htmlsource.source,1511274827642
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ResourceNavigator,1511274830288
activated,editor,org.eclipse.wst.html.ui,1.0.302.v200810291731,org.eclipse.wst.html.core.htmlsource.source,1511274830436
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274831822
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274836853
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274837778
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274880333
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274883515
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274886509
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274889906
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274891122
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1511274897310
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1511274899465
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1511274900031
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274900831
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274903053
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274906612
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274907559
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274913789
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274915113
