what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274123870
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274124107
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274245405
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1511274247299
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1511274250020
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1511274251666
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1511274252170
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274253235
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274254668
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274259878
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274261262
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274261942
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274263078
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274268358
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274269913
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274271492
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274272189
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274272883
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274273997
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1511274274768
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511274275837
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1511274275932
executed,command,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.run,1511274278036
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511274278539
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274279519
