what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511529498187
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511529520771
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ResourceNavigator,1511529520784
closed,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511529520793
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1511529525876
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1511529529294
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511529536492
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511529538955
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ResourceNavigator,1511529539718
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1511529539886
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ResourceNavigator,1511529544052
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511529545052
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1511529546492
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511529546554
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1511529546562
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1511529548845
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ResourceNavigator,1511529549362
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1511529549541
opened,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511529553672
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511529568267
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511529583354
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511529584825
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511529585164
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511529587267
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511529587291
