what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182408174
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182409971
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182410605
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182411701
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1511182417464
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1511182422713
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182423520
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182426277
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1511182452132
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182453053
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182454324
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182457427
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182458320
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182459102
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182467531
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1511182469757
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182470093
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182476592
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182477536
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182478748
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1511182480926
activated,editor,com.spket.xml,1.6.17,com.spket.xml.editor.xmlEditor,1511182482099
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182484874
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182486334
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182492998
