what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270286805
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1511270299488
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270299810
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270304665
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270308186
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270310188
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1511270312425
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270312858
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270313698
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270315340
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270316233
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270318917
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270319854
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270321249
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270322539
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270325098
started,bundle,com.sysdeo.eclipse.tomcat,3.2.1,com.sysdeo.eclipse.tomcat,1511270325119
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270326379
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1511270327345
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270329427
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270331331
executed,command,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.run,1511270331373
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.101.v20080620,org.eclipse.jst.server.tomcat.ui,1511270331416
opened,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511270333043
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511270333082
