what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181722706
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1511181727049
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181729030
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181730474
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1511181732246
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181732607
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181750711
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1511181756984
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181757298
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181769194
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181771829
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181773460
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1511181793380
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1511181793573
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181793987
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181856664
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1511181900510
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181900882
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181904434
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1511181920549
started,bundle,com.spket.js.xpc,1.6.6,com.spket.js.xpc,1511181921794
started,bundle,com.spket.ui,1.6.18,com.spket.ui,1511181921796
started,bundle,com.spket.xml,1.6.17,com.spket.xml,1511181921797
started,bundle,com.spket.core,1.6.18,com.spket.core,1511181921814
started,bundle,com.spket.mime,1.6.8,com.spket.mime,1511181921833
