what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511273952058
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511273955906
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511273956667
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511273957664
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511273968337
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511273969807
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274053734
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274053945
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274080980
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1511274081863
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1511274086294
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1511274100109
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511274102424
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1511274102518
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1511274103189
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1511274108067
executed,command,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.run,1511274109516
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511274110033
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274111451
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274111853
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1511274111866
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511274112580
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274114577
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274116040
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511274120775
