what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182494184
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182498660
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182500123
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1511182501279
executed,command,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.stop,1511182503239
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511182503660
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1511182504734
executed,command,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.run,1511182506538
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511182506972
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182508691
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182508964
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1511182508974
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182512492
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182513349
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1511182514918
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1511182522409
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182523037
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182526633
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511182533234
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1511182533321
executed,command,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.run,1511182534829
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511182535329
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182536342
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182537237
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1511182537247
