what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1511270333939
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270334769
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270343543
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511270343552
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ResourceNavigator,1511270346872
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270350646
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1511270351631
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1511270351804
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270360649
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.renameResource,1511270360674
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.rename,1511270360674
started,bundle,com.spket.js.xpc,1.6.6,com.spket.js.xpc,1511270366831
started,bundle,com.spket.ui,1.6.18,com.spket.ui,1511270366832
started,bundle,com.spket.xml,1.6.17,com.spket.xml,1511270366833
started,bundle,com.spket.core,1.6.18,com.spket.core,1511270366848
started,bundle,com.spket.mime,1.6.8,com.spket.mime,1511270366859
started,bundle,com.spket.laszlo,1.6.17,com.spket.laszlo,1511270366860
started,bundle,com.spket.as.core,1.6.17,com.spket.as.core,1511270366866
started,bundle,com.spket.js,1.6.18,com.spket.js,1511270366870
started,bundle,com.spket.svg,1.6.6,com.spket.svg,1511270366873
started,bundle,com.spket.wpfe,1.6.6,com.spket.wpfe,1511270366879
started,bundle,com.spket.xul,1.6.6,com.spket.xul,1511270366886
started,bundle,com.spket.ywt,1.6.6,com.spket.ywt,1511270366893
opened,editor,com.spket.xml,1.6.17,com.spket.xml.editor.xmlEditor,1511270367006
started,bundle,com.spket.js.debug,1.6.16,com.spket.js.debug,1511270367041
