what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511275329938
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511275332406
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511275332761
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511275333236
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511275333487
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511275334078
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511275334372
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511275354165
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511275360762
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511275465087
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511275465353
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511275470516
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511275471633
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511275472215
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511275472350
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511275504371
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511275506567
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511275513957
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511275518645
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511275519501
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511275519657
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511275520739
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1511275525173
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511275526520
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511275528322
