what,kind,bundleId,bundleVersion,description,time
started,bundle,com.spket.laszlo,1.6.17,com.spket.laszlo,1511181921834
started,bundle,com.spket.as.core,1.6.17,com.spket.as.core,1511181921844
started,bundle,com.spket.js,1.6.18,com.spket.js,1511181921851
started,bundle,com.spket.svg,1.6.6,com.spket.svg,1511181922061
started,bundle,com.spket.wpfe,1.6.6,com.spket.wpfe,1511181922065
started,bundle,com.spket.xul,1.6.6,com.spket.xul,1511181922070
started,bundle,com.spket.ywt,1.6.6,com.spket.ywt,1511181922075
opened,editor,com.spket.xml,1.6.17,com.spket.xml.editor.xmlEditor,1511181922256
started,bundle,com.spket.js.debug,1.6.16,com.spket.js.debug,1511181922362
activated,editor,com.spket.xml,1.6.17,com.spket.xml.editor.xmlEditor,1511181922366
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181922734
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181925056
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181941678
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181942551
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1511181943767
activated,editor,com.spket.xml,1.6.17,com.spket.xml.editor.xmlEditor,1511181954921
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1511181956170
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1511181964377
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181968418
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181977988
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.newWizard,1511181978000
opened,editor,org.eclipse.wst.html.ui,1.0.302.v200810291731,org.eclipse.wst.html.core.htmlsource.source,1511181978065
activated,editor,org.eclipse.wst.html.ui,1.0.302.v200810291731,org.eclipse.wst.html.core.htmlsource.source,1511181978109
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181978941
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181979789
