what,kind,bundleId,bundleVersion,description,time
activated,editor,com.spket.xml,1.6.17,com.spket.xml.editor.xmlEditor,1511270367042
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1511270371195
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1511270371364
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270371699
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270387451
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1511270390282
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1511270402329
started,bundle,org.eclipse.mylyn.java.tasks,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.tasks,1511270402667
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.17,org.tigris.subversion.clientadapter.javahl,1511270402667
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.15,org.tigris.subversion.clientadapter.svnkit,1511270402668
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511270404691
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1511270404778
executed,command,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.run,1511270406428
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511270406899
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270407992
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270408907
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1511270408920
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270412948
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270413924
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270414929
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270416079
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1511270417643
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1511270418633
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270420511
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270421554
