what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1511182592621
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182594797
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182598826
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182659392
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182678807
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182680428
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182737048
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182744325
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182745367
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182750323
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182751113
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182753017
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182753851
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182757105
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182758000
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182761280
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182762194
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1511182768638
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182769059
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182769719
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511183070267
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511183317340
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511183335089
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511183618689
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511183619956
