what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511358740870
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511358740895
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1511358740895
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511358747130
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511358764053
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511358766346
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511358769802
activated,editor,org.eclipse.wst.html.ui,1.0.302.v200810291731,org.eclipse.wst.html.core.htmlsource.source,1511358773336
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1511358773858
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1511358792399
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1511358792465
activated,editor,org.eclipse.wst.html.ui,1.0.302.v200810291731,org.eclipse.wst.html.core.htmlsource.source,1511358796626
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1511358801367
activated,editor,org.eclipse.wst.html.ui,1.0.302.v200810291731,org.eclipse.wst.html.core.htmlsource.source,1511358803200
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ResourceNavigator,1511358808122
started,bundle,com.spket.js.xpc,1.6.6,com.spket.js.xpc,1511358808276
started,bundle,com.spket.ui,1.6.18,com.spket.ui,1511358808281
started,bundle,com.spket.xml,1.6.17,com.spket.xml,1511358808283
started,bundle,com.spket.core,1.6.18,com.spket.core,1511358808397
started,bundle,com.spket.mime,1.6.8,com.spket.mime,1511358808412
started,bundle,com.spket.laszlo,1.6.17,com.spket.laszlo,1511358808413
started,bundle,com.spket.as.core,1.6.17,com.spket.as.core,1511358808422
started,bundle,com.spket.js,1.6.18,com.spket.js,1511358808425
started,bundle,com.spket.svg,1.6.6,com.spket.svg,1511358808427
started,bundle,com.spket.wpfe,1.6.6,com.spket.wpfe,1511358808432
