what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1511181477529
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1511181480602
opened,editor,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.editor,1511181484337
activated,editor,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.editor,1511181484361
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1511181487543
closed,editor,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.editor,1511181487543
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1511181488822
executed,command,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.run,1511181490118
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181492771
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181495009
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181498671
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181499388
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1511181499396
started,bundle,org.eclipse.pde.core,3.4.0.v20090202,org.eclipse.pde.core,1511181499414
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1511181503325
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1511181505611
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181516657
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181519249
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181525034
started,bundle,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.ui,1511181528520
started,bundle,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui,1511181528613
started,bundle,org.eclipse.wst.html.core,1.1.204.v200901141603,org.eclipse.wst.html.core,1511181528630
started,bundle,org.eclipse.wst.css.core,1.1.201.v200808072008,org.eclipse.wst.css.core,1511181528665
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.104.v200901282355,org.eclipse.wst.jsdt.web.ui,1511181528710
started,bundle,org.eclipse.wst.css.ui,1.0.301.v200807170605,org.eclipse.wst.css.ui,1511181528738
