what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.jee.web,1.0.101.v200810230738,org.eclipse.jst.jee.web,1511269948727
started,bundle,org.eclipse.xsd,2.4.2.v200902171115,org.eclipse.xsd,1511269948826
started,bundle,org.eclipse.emf.codegen,2.4.0.v200902171115,org.eclipse.emf.codegen,1511269966427
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511269966642
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.newWizard,1511269966654
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1511269966726
started,bundle,org.eclipse.jdt.debug,3.4.1.v20081216_r342,org.eclipse.jdt.debug,1511269966786
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,org.eclipse.wst.internet.cache,1511269966794
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1511269966823
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1511269966844
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511269970432
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511269973733
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.delete.line,1511269979525
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1511269980333
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511269981982
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511269983884
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511269988062
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511269989833
started,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080730_r341,org.eclipse.pde.api.tools.ui,1511269992798
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1511269992841
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511269993268
started,bundle,org.eclipse.jst.server.ui,1.0.303.v200805140145,org.eclipse.jst.server.ui,1511269993909
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1511269993911
started,bundle,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui,1511269993916
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511269994164
