what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270645074
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1511270650983
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270651455
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270652226
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270652442
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270787214
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270794886
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270816327
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511270838535
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511272659049
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ResourceNavigator,1511272667501
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511272676685
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511272677441
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511272677923
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511272679147
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511272680508
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511272681921
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511272687195
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511272712918
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.newWizard,1511272712931
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1511272713029
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1511272713056
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.delete.line,1511272722076
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.delete.line,1511272723530
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1511272723784
