what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.dtd.ui,1.0.301.v200808072012,org.eclipse.wst.dtd.ui,1511181528789
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181535458
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.newWizard,1511181535468
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.103.v200810081720,org.eclipse.wst.jsdt.web.support.jsp,1511181535589
started,bundle,org.eclipse.jst.jsf.common.runtime,1.0.101.v20090128,org.eclipse.jst.jsf.common.runtime,1511181535613
opened,editor,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.core.jspsource.source,1511181536028
activated,editor,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.core.jspsource.source,1511181536152
started,bundle,org.eclipse.jpt.core,2.0.102.v200901160200,org.eclipse.jpt.core,1511181536763
started,bundle,org.eclipse.mylyn.java.tasks,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.tasks,1511181554507
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.17,org.tigris.subversion.clientadapter.javahl,1511181554508
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.15,org.tigris.subversion.clientadapter.svnkit,1511181554510
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1511181554826
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1511181557299
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181557597
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181559121
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1511181559153
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181561163
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181570592
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1511181570611
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1511181572190
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181577317
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511181588971
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1511181588983
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1511181589074
activated,editor,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.core.jspsource.source,1511181589935
