what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511184622737
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1511184626700
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511184633919
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511184636496
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1511184642088
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1511184644418
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1511184646820
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ResourceNavigator,1511184654630
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1511184656546
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.ContentOutline,1511184658202
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ResourceNavigator,1511184660186
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1511184670808
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511184671180
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511184677663
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1511184677700
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511184680389
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1511184681321
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1511184681486
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1511184681632
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511184682284
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.renameResource,1511184682308
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.rename,1511184682308
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511184687004
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1511184695979
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511184702363
