what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182287810
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182290625
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182291655
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182295866
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182296865
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1511182298414
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182299967
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182301238
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1511182327359
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182331328
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182332527
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1511182339362
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182347623
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182348921
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182353046
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182356381
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182370653
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182382482
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1511182385176
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1511182390777
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1511182397969
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182398315
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182399314
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182407426
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1511182408016
